pubmed - particulate matter
year,count
2018,26
2017,2348
2016,3134
2015,3429
2014,3258
2013,2917
2012,2777
2011,2622
2010,2517
2009,2436
2008,2342
2007,2158
2006,1861
2005,1650
2004,1541
2003,1233
2002,1205
2001,1149
2000,1027
1999,940
1998,881
1997,816
1996,791
1995,726
1994,703
1993,694
1992,680
1991,685
1990,715
1989,711
1988,589
1987,649
1986,657
1985,629
1984,572
1983,575
1982,483
1981,456
1980,447
1979,430
1978,408
1977,377
1976,341
1975,472
1974,489
1973,478
1972,441
1971,373
1970,406
1969,255
1968,243
1967,231
1966,171
1965,170
1964,226
1963,230
1962,188
1961,135
1960,138
1959,126
1958,144
1957,136
1956,114
1955,119
1954,110
1953,106
1952,80
1951,93
1950,84
1949,46
1948,62
1947,65
1946,37
1945,10
1943,1
1939,1
1934,1
1932,2
1931,3
1920,1
1912,1

