pubmed - fine particulate matter
year,count
2018,10
2017,521
2016,520
2015,433
2014,361
2013,292
2012,254
2011,250
2010,211
2009,235
2008,200
2007,215
2006,178
2005,158
2004,94
2003,65
2002,73
2001,52
2000,47
1999,46
1998,14
1997,17
1996,15
1995,12
1994,7
1993,10
1992,6
1991,11
1990,6
1989,11
1988,5
1987,5
1986,8
1985,7
1984,5
1983,8
1982,1
1981,4
1980,6
1979,8
1978,1
1977,4
1976,5
1975,6
1974,4
1973,2
1972,1
1970,1
1967,1
1965,3
1964,1
1963,2
1959,2
1958,1
1957,2
1956,1
1953,1
1952,1
1947,1
1931,1

